id,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,y
20534,2017-04-03,NorahHead,15.0,22.2,7.6,,,SSE,67.0,WSW,SSE,11.0,31.0,100.0,57.0,1027.1,1025.3,,,16.7,21.4,Yes,6.8,Yes
15759,2011-11-07,Newcastle,19.0,32.3,0.0,,,,,N,NW,4.0,6.0,63.0,41.0,,,4.0,4.0,24.6,32.0,No,28.6,Yes
15374,2010-09-02,Newcastle,14.4,27.5,2.0,,,,,,,0.0,0.0,94.0,85.0,,,5.0,7.0,15.8,19.0,Yes,5.6,Yes
16386,2013-10-22,Newcastle,18.6,28.2,0.0,,,,,SE,SE,9.0,9.0,73.0,59.0,,,6.0,5.0,23.4,27.7,No,0.0,No
8369,2015-12-01,Cobar,22.6,37.1,0.0,35.4,,W,57.0,N,W,22.0,33.0,11.0,17.0,1008.0,1007.9,7.0,7.0,30.7,34.7,No,0.0,No
24382,2011-05-03,Penrith,12.0,19.9,0.2,,,WSW,22.0,,WSW,0.0,4.0,99.0,70.0,,,,,14.9,19.3,No,0.2,No
3457,2010-04-11,BadgerysCreek,14.2,27.8,0.0,,,SW,44.0,NNE,WNW,11.0,24.0,76.0,34.0,1008.3,1006.7,,,20.9,26.6,No,0.0,No
3802,2011-05-10,BadgerysCreek,7.9,18.6,0.0,,,SW,43.0,SW,SW,26.0,13.0,54.0,37.0,1016.3,1013.2,,,12.8,17.5,No,0.0,No
24250,2010-11-06,Penrith,12.2,18.1,3.4,,,SE,28.0,SSW,SSW,13.0,6.0,91.0,74.0,,,,,14.1,17.4,Yes,1.6,Yes
16317,2013-08-14,Newcastle,9.2,23.2,0.0,,,,,,NW,0.0,28.0,65.0,23.0,,,6.0,2.0,12.0,22.7,No,0.0,No
12166,2009-10-14,Moree,14.7,25.4,0.0,12.0,9.7,WNW,61.0,W,W,28.0,39.0,23.0,13.0,1008.3,1007.4,1.0,2.0,20.5,24.0,No,0.0,No
464,2010-03-18,Albury,15.1,30.4,0.0,,,SSE,48.0,SE,W,2.0,9.0,73.0,36.0,1025.4,1022.2,,,18.9,29.7,No,0.0,No
20734,2009-04-27,NorfolkIsland,14.8,23.0,0.0,4.0,9.8,NE,26.0,NE,NNE,13.0,15.0,60.0,58.0,1019.3,1017.4,1.0,1.0,20.9,22.1,No,0.0,No
